country,development_level,fragility,education_level,gender,rural,wealth_quintile,out_of_school_rate,attendance_rate,completion_rate
Afghanistan,Least,1,Primary,Male,False,4,20.9,79.1,79.1
Afghanistan,Least,1,Primary,Female,False,5,24.8,75.2,75.2
Afghanistan,Least,1,Lower Secondary,Male,True,2,43.5,56.5,41.3
Afghanistan,Least,1,Lower Secondary,Female,True,4,55.1,44.9,44.9
Afghanistan,Least,1,Higher Secondary,Male,True,2,47.3,52.7,39.8
Afghanistan,Least,1,Higher Secondary,Female,True,5,30.3,64.1,49.2
South Sudan,Least,1,Primary,Male,False,5,35.5,64.5,64.5
South Sudan,Least,1,Primary,Female,False,4,36.3,63.7,63.7
South Sudan,Least,1,Lower Secondary,Male,True,2,33.9,66.1,48.5
South Sudan,Least,1,Lower Secondary,Female,False,2,52.0,48.0,48.0
South Sudan,Least,1,Higher Secondary,Male,True,5,53.2,46.8,30.0
South Sudan,Least,1,Higher Secondary,Female,False,4,44.2,55.8,55.8
Chad,Least,1,Primary,Male,False,5,27.4,72.6,72.6
Chad,Least,1,Primary,Female,False,3,30.3,69.7,69.7
Chad,Least,1,Lower Secondary,Male,True,1,51.1,48.9,30.0
Chad,Least,1,Lower Secondary,Female,True,2,50.7,49.3,33.1
Chad,Least,1,Higher Secondary,Male,True,3,46.7,53.3,38.1
Chad,Least,1,Higher Secondary,Female,False,5,28.0,58.0,58.0
Somalia,Least,1,Primary,Male,True,5,40.4,59.6,59.6
Somalia,Least,1,Primary,Female,True,5,34.7,65.3,65.3
Somalia,Least,1,Lower Secondary,Male,False,1,29.7,70.3,61.8
Somalia,Least,1,Lower Secondary,Female,True,2,61.0,39.0,39.0
Somalia,Least,1,Higher Secondary,Male,True,2,52.2,47.8,34.9
Somalia,Least,1,Higher Secondary,Female,False,5,30.6,65.6,47.3
Bangladesh,Less,0,Primary,Male,False,4,2.7,97.3,97.3
Bangladesh,Less,0,Primary,Female,True,4,23.6,76.4,76.4
Bangladesh,Less,0,Lower Secondary,Male,True,3,21.8,72.5,46.4
Bangladesh,Less,0,Lower Secondary,Female,False,4,15.2,76.4,72.9
Bangladesh,Less,0,Higher Secondary,Male,False,2,15.4,66.1,61.9
Bangladesh,Less,0,Higher Secondary,Female,True,4,25.1,61.4,41.9
Nepal,Less,0,Primary,Male,True,2,23.0,77.0,77.0
Nepal,Less,0,Primary,Female,False,5,7.2,92.8,92.8
Nepal,Less,0,Lower Secondary,Male,False,5,11.2,69.1,69.1
Nepal,Less,0,Lower Secondary,Female,True,3,24.3,75.7,73.2
Nepal,Less,0,Higher Secondary,Male,False,1,11.3,79.4,70.1
Nepal,Less,0,Higher Secondary,Female,True,2,21.0,70.5,55.0
Ethiopia,Least,0,Primary,Male,False,5,10.7,89.3,89.3
Ethiopia,Least,0,Primary,Female,False,5,14.1,85.9,85.9
Ethiopia,Least,0,Lower Secondary,Male,True,4,25.4,74.6,59.1
Ethiopia,Least,0,Lower Secondary,Female,False,5,17.6,82.4,82.4
Ethiopia,Least,0,Higher Secondary,Male,False,4,20.8,76.3,47.6
Ethiopia,Least,0,Higher Secondary,Female,False,5,20.5,72.5,63.2
